Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (��g/m�,PM2.5 (��g/m��) c,0.3��m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (��C),Temperature (��C) corre,Heat Index (��,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (��g/,PM10 (��g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,timestamp
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,2/4/2026 5:00,2026-02-03T21:00:00.000Z,26,44.8,32.5,2357.0,473.0,473.0,23.6,22.7,22.9,64.0,88.0,98.0,102.0,2.0,31.0,57.0,,,,,,,,,,,,,,,,,,,,,2026-02-04 05:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,2/4/2026 6:00,2026-02-03T22:00:00.000Z,60,48.3,37.5,2688.0,475.0,475.0,25.7,25.3,25.9,56.0,78.0,136.0,130.0,1.0,33.6,62.0,,,,,,,,,,,,,,,,,,,,,2026-02-04 06:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,2/4/2026 7:00,2026-02-03T23:00:00.000Z,60,62.3,50.1,3590.0,480.0,480.0,26.5,26.2,27.3,54.0,75.0,75.0,71.0,1.0,44.0,75.6,,,,,,,,,,,,,,,,,,,,,2026-02-04 07:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 8:00,2026-02-04T00:00:00.000Z,60,43.3,31.7,2082.0,451.0,451.0,28.0,27.9,30.6,50.0,71.0,15.0,7.0,1.0,28.2,55.8,,,,,,,,,,,,,,,,,,,,,2026-02-04 08:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 9:00,2026-02-04T01:00:00.000Z,60,22.0,14.2,999.0,422.0,422.0,29.7,30.0,34.2,47.0,67.0,17.0,10.0,1.0,13.9,26.6,,,,,,,,,,,,,,,,,,,,,2026-02-04 09:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 10:00,2026-02-04T02:00:00.000Z,60,23.5,14.7,985.0,422.0,422.0,29.0,29.2,32.8,49.0,69.0,18.0,11.0,1.0,13.9,28.9,,,,,,,,,,,,,,,,,,,,,2026-02-04 10:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 11:00,2026-02-04T03:00:00.000Z,60,36.9,24.1,1618.0,423.0,423.0,28.3,28.4,31.9,53.0,74.0,17.0,11.0,2.0,25.0,45.9,,,,,,,,,,,,,,,,,,,,,2026-02-04 11:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 12:00,2026-02-04T04:00:00.000Z,60,17.7,11.9,867.0,415.0,415.0,29.2,29.4,33.3,48.0,68.0,23.0,19.0,2.0,12.0,21.6,,,,,,,,,,,,,,,,,,,,,2026-02-04 12:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 13:00,2026-02-04T05:00:00.000Z,60,2.1,3.1,257.0,408.0,408.0,30.0,30.4,33.9,43.0,62.0,31.0,27.0,1.0,0.4,3.6,,,,,,,,,,,,,,,,,,,,,2026-02-04 13:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 14:00,2026-02-04T06:00:00.000Z,60,1.5,2.8,252.0,403.0,403.0,29.9,30.2,33.6,43.0,62.0,26.0,22.0,1.0,0.2,2.9,,,,,,,,,,,,,,,,,,,,,2026-02-04 14:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 15:00,2026-02-04T07:00:00.000Z,42,1.7,2.8,255.0,405.0,405.0,29.2,29.4,32.0,44.0,62.0,33.0,30.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,2026-02-04 15:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2/4/2026 16:00,2026-02-04T08:00:00.000Z,60,2.5,3.3,290.0,406.0,406.0,28.7,28.8,31.0,43.0,62.0,112.0,115.0,1.0,0.4,3.8,,,,,,,,,,,,,,,,,,,,,2026-02-04 16:00:00+08:00
