"location_key","source","external_id","name","locality","country_iso","owner_name","provider_name","is_monitor","is_mobile","latitude","longitude","geom","created_at","updated_at"
"openaq:3400936","openaq","3400936","Thung Hua Sinn Group","NaN","TH","Thung Hua Sinn Group","AirGradient",False,False,13.69892706888951,100.5967325993592,"0101000020E61000001CADEDDD30265940D456CEC4D9652B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3400937","openaq","3400937","Khlong 3 - Lat Sawai","NaN","TH","TD","AirGradient",False,False,13.944866,100.6670272,"0101000020E6100000B862DA92B02A59406534F279C5E32B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3400941","openaq","3400941","Neighbour Home","NaN","TH","Brad Ford","AirGradient",False,False,13.9135033,100.6843258,"0101000020E6100000C7B370FECB2B59407F935CB4B6D32B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3400954","openaq","3400954","Bangramad, Talingchan","NaN","TH","nnarin","AirGradient",False,False,13.769972,100.436219,"0101000020E610000034B91803EB1B5940E2AB1DC5398A2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3400956","openaq","3400956","The Lofts Asoke - sukhumvit 21","NaN","TH","Unknown Person","AirGradient",False,False,13.74679776025865,100.56215036834317,"0101000020E6100000F8DD8945FA235940EB12AA465C7E2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3400979","openaq","3400979","House 45, Arden Rama 3","NaN","TH","Mogens Christiansen","AirGradient",False,False,13.67941,100.54297,"0101000020E6100000622D3E05C02259409626A5A0DB5B2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3400985","openaq","3400985","Onnut 44","NaN","TH","Nonpawit","AirGradient",False,False,13.699072722760107,100.63272004438734,"0101000020E6100000B58A367C7E285940888F23DCEC652B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3400991","openaq","3400991","Potong Pasir Singapore","NaN","SG","Unknown Person","AirGradient",False,False,1.330931,103.868663,"0101000020E6100000B20FB22C98F75940A2B8E34D7E4BF53F","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:3402586","openaq","3402586","TPN FlexPak","NaN","TH","Thung Hua Sinn Group","AirGradient",False,False,13.5865189344302,100.95071089222978,"0101000020E6100000FC847F72D83C594097B9B3354C2C2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3402593","openaq","3402593","TPN Packaging","NaN","TH","Thung Hua Sinn Group","AirGradient",False,False,13.587370852277184,100.94784483015584,"0101000020E6100000EECC5C7DA93C5940ED4E52DFBB2C2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3402594","openaq","3402594","Thung Hua Sinn Printing Network","NaN","TH","Thung Hua Sinn Group","AirGradient",False,False,13.579648742936051,100.94081408928972,"0101000020E610000062474C4C363C5940DC2754B8C7282B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3407228","openaq","3407228","Noble Remix - Bangkok","NaN","TH","Milo","AirGradient",False,False,13.725080260147958,100.57723279163291,"0101000020E61000007F8FCE61F12459400E9F48B83D732B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
